DateTime,Temperature,Dissolved_Oxygen,pH,Turbidity,Date,Hour
2024-01-01 00:00:00,27.5980284918067,6.91638802791086,7.93721242947476,3.67737880775025,2024-01-01,0
2024-01-01 01:00:00,27.2170414192973,6.87157757847334,7.87236511750717,4.11098666514352,2024-01-01,1
2024-01-01 02:00:00,27.6886131228604,5.95069394199232,7.94137752968975,3.03936908918122,2024-01-01,2
2024-01-01 03:00:00,28.2138179138448,6.33576065010939,7.80489266110846,3.6118093683855,2024-01-01,3
2024-01-01 04:00:00,27.159507975166,6.56354345581208,7.8227415096328,3.88556338868995,2024-01-01,4
2024-01-01 05:00:00,27.1595178258305,5.67826769828644,8.02020069610445,2.92457666682204,2024-01-01,5
2024-01-01 06:00:00,28.2475276893044,6.92849608095099,8.32258107399825,3.10119625182065,2024-01-01,6
2024-01-01 07:00:00,27.7604608374918,6.75055689320818,7.53598504077564,4.05729904758916,2024-01-01,7
2024-01-01 08:00:00,27.018315368439,5.89626365921306,7.80819937827538,2.89070749201162,2024-01-01,8
2024-01-01 09:00:00,27.6255360261516,7.1425277191664,7.58210329810126,2.73331408595804,2024-01-01,9
2024-01-01 10:00:00,27.0219493843125,7.32952364681458,8.16432522870098,3.96703207666499,2024-01-01,10
2024-01-01 11:00:00,27.0205621478579,7.03622068731893,7.70657502644282,3.82460818674159,2024-01-01,11
2024-01-01 12:00:00,27.4451773629396,6.70555909487462,7.52692783330498,3.49581170491302,2024-01-01,12
2024-01-01 13:00:00,26.1520318532053,7.25486529105111,7.9640192697582,3.29034437550229,2024-01-01,13
2024-01-01 14:00:00,26.2650493004922,7.30813221628602,8.19630533409605,3.12143446258986,2024-01-01,14
2024-01-01 15:00:00,26.9626274824554,7.08444214183181,7.96935555239776,3.43123801573789,2024-01-01,15
2024-01-01 16:00:00,26.6923013277994,6.40523264973914,7.8730075542292,3.98931699168267,2024-01-01,16
2024-01-01 17:00:00,27.4885483995572,7.06596045930671,7.91591959378296,3.41258343424109,2024-01-01,17
2024-01-01 18:00:00,26.7551855546873,7.61728839049529,8.12711653919337,4.2417924849162,2024-01-01,18
2024-01-01 19:00:00,26.4526177791988,6.54202256483296,7.64641815329703,2.9238849461747,2024-01-01,19
2024-01-01 20:00:00,28.1793892613529,8.15876360347946,7.80651210814188,3.30153727563884,2024-01-01,20
2024-01-01 21:00:00,27.1645342197081,6.58462143960877,7.734935068813,3.14958477290452,2024-01-01,21
2024-01-01 22:00:00,27.3405169228128,6.91944420800408,7.58474828546874,2.8433891364402,2024-01-01,22
2024-01-01 23:00:00,26.4451510882719,6.4965086423962,7.76104119552247,3.24417399480585,2024-01-01,23
2024-01-02 00:00:00,26.9733703652849,7.03396250155216,8.06262143015631,3.48945159971399,2024-01-02,0
2024-01-02 01:00:00,27.3665535538259,5.85466698441884,7.94898645116247,3.53541897737937,2024-01-02,1
2024-01-02 02:00:00,26.6094038535466,6.57237492070997,7.96530520502272,4.24329443694616,2024-01-02,2
2024-01-02 03:00:00,27.5254188110074,6.24472727979086,7.8607598784472,3.50972101198113,2024-01-02,3
2024-01-02 04:00:00,26.9396167860487,6.98120300873538,7.939897994373,3.80455882558224,2024-01-02,4
2024-01-02 05:00:00,27.124983750124,7.49666842530534,7.6618760281069,3.33842052590856,2024-01-02,5
2024-01-02 06:00:00,26.9389760326624,7.28760371226873,7.76500292395528,4.03156390819462,2024-01-02,6
2024-01-02 07:00:00,28.4113669107054,5.47700438348467,7.87032088976342,4.34133319280287,2024-01-02,7
2024-01-02 08:00:00,27.2919016651572,8.12524179175673,7.8882783303652,3.53836660631966,2024-01-02,8
2024-01-02 09:00:00,26.6653734426265,7.07716796437252,7.89723944953359,2.88315662335582,2024-01-02,9
2024-01-02 10:00:00,27.7935269472619,6.4341005157042,7.80094959077656,3.07401384020582,2024-01-02,10
2024-01-02 11:00:00,26.5674938100174,6.99427675139457,7.75074108576263,3.43123175037822,2024-01-02,11
2024-01-02 12:00:00,27.4253181570029,7.00571389350162,8.4931319694393,3.50629415515778,2024-01-02,12
2024-01-02 13:00:00,26.1241979256721,6.49989076982906,8.0204253273158,3.61032280778528,2024-01-02,13
2024-01-02 14:00:00,26.5030883706609,7.01875000040525,7.91676096995005,3.50788500292892,2024-01-02,14
2024-01-02 15:00:00,27.4181167415215,6.53551662742782,7.78102621537666,3.31300351399005,2024-01-02,15
2024-01-02 16:00:00,27.7430799479973,6.65738280438599,7.73524404634179,3.03643467028309,2024-01-02,16
2024-01-02 17:00:00,27.402820968714,6.48823251854695,7.80253187531734,3.48248945234362,2024-01-02,17
2024-01-02 18:00:00,27.2306110305671,6.04039722615621,7.8914940571532,4.10764456371668,2024-01-02,18
2024-01-02 19:00:00,27.1193377826464,6.98750188212923,7.43510853574675,3.74856930033393,2024-01-02,19
2024-01-02 20:00:00,26.4128868057795,7.2511796619098,7.50042818497132,3.53992269834357,2024-01-02,20
2024-01-02 21:00:00,26.8680934749632,7.20893015764582,7.69625469832282,3.75271377724378,2024-01-02,21
2024-01-02 22:00:00,27.0236167374241,7.39195515158114,7.8734992817235,3.15044246757263,2024-01-02,22
2024-01-02 23:00:00,27.9342733357314,7.09460412600892,7.77975263909811,3.09144598718417,2024-01-02,23
2024-01-03 00:00:00,27.5061709737411,6.58036470106986,8.14040545748089,2.98845240512263,2024-01-03,0
2024-01-03 01:00:00,26.2421759067824,7.40379831865871,7.51869667473089,3.25612675220914,2024-01-03,1
2024-01-03 02:00:00,27.4944503816369,6.08548947609484,7.67221745138329,3.1285374644151,2024-01-03,2
2024-01-03 03:00:00,27.0689506317502,6.35959717049251,8.14921926560813,3.82955813848042,2024-01-03,3
2024-01-03 04:00:00,26.8938467998164,6.32147995714605,7.85753505818178,3.10561093039666,2024-01-03,4
2024-01-03 05:00:00,27.6670057733045,7.54803363548359,8.01581694238824,2.96482966202329,2024-01-03,5
2024-01-03 06:00:00,27.9185997134976,7.46567310848405,8.26076185808659,4.14530818689717,2024-01-03,6
2024-01-03 07:00:00,27.8587680714697,7.192383142227,7.68430107224062,3.11590865063502,2024-01-03,7
2024-01-03 08:00:00,26.7964694860664,7.54315791912708,7.80914398906367,3.37601723661765,2024-01-03,8
2024-01-03 09:00:00,27.1144725744893,6.37243033055281,7.77279035080452,3.50406881463967,2024-01-03,9
2024-01-03 10:00:00,27.4987580588421,7.10915707191659,7.41953546905851,2.82122195886405,2024-01-03,10
2024-01-03 11:00:00,27.8853270762734,6.8248953429701,7.76481667121125,3.84125802088632,2024-01-03,11
2024-01-03 12:00:00,27.0124954572928,7.40812926233095,8.01502305934994,3.58396118737683,2024-01-03,12
2024-01-03 13:00:00,27.1886046140017,6.83086546046868,7.94352380378057,3.98010512510874,2024-01-03,13
2024-01-03 14:00:00,26.6361990155964,6.66903426695395,7.96000746557148,3.01793456699622,2024-01-03,14
2024-01-03 15:00:00,26.5822760255516,7.22454511113659,7.75114311406571,3.35262409076475,2024-01-03,15
2024-01-03 16:00:00,27.7875154934365,7.42570150031474,7.69221958043882,3.3269229746475,2024-01-03,16
2024-01-03 17:00:00,28.1137440171425,6.49899288309192,8.09654369109871,3.42347205257051,2024-01-03,17
2024-01-03 18:00:00,27.2567939270518,6.86335459718857,7.72556339926489,2.68451565811182,2024-01-03,18
2024-01-03 19:00:00,27.9021197387352,6.26493561981501,7.89175722814658,3.35765964283766,2024-01-03,19
2024-01-03 20:00:00,27.5169816150286,5.40116338950424,7.86430028294228,2.69662051808779,2024-01-03,20
2024-01-03 21:00:00,26.9129281472369,7.02027577884824,8.136960573414,3.46408365061468,2024-01-03,21
2024-01-03 22:00:00,27.5168373633051,7.26534321375278,8.0339965951112,2.39468087645704,2024-01-03,22
2024-01-03 23:00:00,28.2228219398796,7.05724008545204,7.5579956896599,2.51381766125505,2024-01-03,23
2024-01-04 00:00:00,27.278504376534,5.73026296934738,7.58061383497724,3.6619759480692,2024-01-04,0
2024-01-04 01:00:00,28.2387861934884,6.68949034195412,7.95157106179452,3.07485946426624,2024-01-04,1
2024-01-04 02:00:00,25.7281529375462,5.56899134396935,7.81648909405038,2.88522102833814,2024-01-04,2
2024-01-04 03:00:00,27.7931415026251,7.72182066459251,7.73441392536971,3.85646361706249,2024-01-04,3
2024-01-04 04:00:00,27.3522282409429,6.24836725072915,8.04328185563884,3.45087927345122,2024-01-04,4
2024-01-04 05:00:00,27.1205955897205,7.65324216567594,7.86936647023867,3.68499878407953,2024-01-04,5
2024-01-04 06:00:00,27.3550564659213,7.46752178621049,7.84101605124678,3.23851590890204,2024-01-04,6
2024-01-04 07:00:00,26.1074586512395,6.35964578847836,7.99376401455856,4.462240338377,2024-01-04,7
2024-01-04 08:00:00,27.1681968672975,6.22032902923935,7.75122711106185,3.05005903995929,2024-01-04,8
2024-01-04 09:00:00,27.5142675429071,7.1102221298318,8.15938898694924,4.06013308622475,2024-01-04,9
2024-01-04 10:00:00,28.1867364268449,6.39340557769016,7.66450999912107,3.28361260275704,2024-01-04,10
2024-01-04 11:00:00,26.9890378690358,6.96149078529493,7.96795510393184,2.59856053018752,2024-01-04,11
2024-01-04 12:00:00,26.8149038382641,6.61030344551585,8.13110489611857,3.51762496067169,2024-01-04,12
2024-01-04 13:00:00,26.9989457738493,5.83130495132062,7.54076794725286,3.44534790142572,2024-01-04,13
2024-01-04 14:00:00,27.8492412706213,5.56171918852533,7.75789961307099,2.85793161987713,2024-01-04,14
2024-01-04 15:00:00,27.4972506657958,7.03601054909676,8.06986355250597,2.91344571083207,2024-01-04,15
2024-01-04 16:00:00,26.9821438777398,6.56306535220163,8.07302135502352,3.29938001347345,2024-01-04,16
2024-01-04 17:00:00,27.607960459868,6.56814610985152,7.79398592391847,3.46039156055663,2024-01-04,17
2024-01-04 18:00:00,27.3582465296088,7.31751830345627,7.67571907032786,2.24761478836186,2024-01-04,18
2024-01-04 19:00:00,27.8811869943197,7.60406536597947,8.03074652268946,3.76284222458524,2024-01-04,19
2024-01-04 20:00:00,26.8787681436736,6.73647316718292,8.07854531154214,3.09736587125956,2024-01-04,20
2024-01-04 21:00:00,27.1034027120413,6.69564077585408,7.5854206968124,2.73734858170878,2024-01-04,21
2024-01-04 22:00:00,27.0647351081207,7.20008581986833,7.57717813371706,3.71465861712433,2024-01-04,22
2024-01-04 23:00:00,26.4218910311207,6.08583865818026,7.87730390321656,3.29984426885006,2024-01-04,23
2024-01-05 00:00:00,27.4776721662388,7.03389183284862,7.96216573302007,3.83295128401637,2024-01-05,0
2024-01-05 01:00:00,27.4566331633079,7.23113158309329,7.76719549210169,3.4983194730813,2024-01-05,1
2024-01-05 02:00:00,27.3030680739855,7.30813812505058,7.97265170219629,3.30934876373234,2024-01-05,2
2024-01-05 03:00:00,27.1592477199749,5.73794837849852,7.68087131256415,3.24432612365853,2024-01-05,3
2024-01-05 04:00:00,26.4507775547698,6.44318683811464,7.38591434419452,3.51756648703914,2024-01-05,4
2024-01-05 05:00:00,27.0476128063408,6.37304204830592,7.74098077481016,3.13218155871199,2024-01-05,5
2024-01-05 06:00:00,27.0943712900839,6.95993217264553,7.84327875076775,2.94339378683901,2024-01-05,6
2024-01-05 07:00:00,26.818633638467,7.18844674786079,7.77207360842174,3.5722609227415,2024-01-05,7
2024-01-05 08:00:00,27.2032285730004,7.79802624446759,7.58669331463151,3.2478702281789,2024-01-05,8
2024-01-05 09:00:00,27.5424305140887,6.60302071177916,7.44871371506545,3.32443408866967,2024-01-05,9
2024-01-05 10:00:00,28.4317115407263,6.60145650101447,7.72204135108274,3.77843332954648,2024-01-05,10
2024-01-05 11:00:00,27.4047466876991,7.58980321132725,8.01850771204645,3.26103305867363,2024-01-05,11
2024-01-05 12:00:00,27.4545302344337,7.07794616311818,8.09380146227687,3.31646458798297,2024-01-05,12
2024-01-05 13:00:00,27.2553324505403,7.66059090671279,8.07941981066908,3.0521507100761,2024-01-05,13
2024-01-05 14:00:00,26.1487372708206,7.0732368018059,7.6586589976188,3.4952181716122,2024-01-05,14
2024-01-05 15:00:00,27.2840916747305,6.20573002877204,7.58772167203762,3.46042600245244,2024-01-05,15
2024-01-05 16:00:00,27.3361381259646,6.10012298713332,7.93429326914578,3.69733330666994,2024-01-05,16
2024-01-05 17:00:00,28.7779452674912,5.96909265056464,7.96337100243556,3.06097460008704,2024-01-05,17
2024-01-05 18:00:00,27.1845834211313,7.29723110085508,7.91403561709211,3.11313870307622,2024-01-05,18
2024-01-05 19:00:00,27.4809284054002,7.61315809385221,7.40704671241007,3.65061908163255,2024-01-05,19
2024-01-05 20:00:00,27.2791729381769,8.00961728483183,7.64795423717447,3.41845159144603,2024-01-05,20
2024-01-05 21:00:00,26.5987931774283,7.40586319939394,7.82376535403995,2.92032620573714,2024-01-05,21
2024-01-05 22:00:00,27.985693688709,7.59770314652099,7.93231582087239,3.87181824912584,2024-01-05,22
2024-01-05 23:00:00,27.7511598196121,6.55199020040779,7.99113454614652,2.57966625558789,2024-01-05,23
2024-01-06 00:00:00,27.7746191682258,6.20615050995369,7.86029323967923,3.64724244390341,2024-01-06,0
2024-01-06 01:00:00,26.7543675271232,7.41004759945053,7.89946459937303,2.76595882452078,2024-01-06,1
2024-01-06 02:00:00,28.1416765865617,7.15060845134364,7.84782174625583,4.12088906208878,2024-01-06,2
2024-01-06 03:00:00,26.4588893623246,6.96446662460454,7.97398006858588,2.64582211743058,2024-01-06,3
2024-01-06 04:00:00,27.6521142562802,7.1324228883798,7.89570178681309,3.80546778030528,2024-01-06,4
2024-01-06 05:00:00,28.614273375486,7.09391128947492,7.84380490860993,3.27489722519517,2024-01-06,5
2024-01-06 06:00:00,26.7056782049216,7.67029011591214,7.77364255218115,3.15236089496934,2024-01-06,6
2024-01-06 07:00:00,26.9602213622383,7.67699135089017,7.84707119925892,3.38972056228114,2024-01-06,7
2024-01-06 08:00:00,27.3597908190526,7.22653221140421,7.93176418955625,3.58171714583786,2024-01-06,8
2024-01-06 09:00:00,26.9979146075303,7.40748172353776,7.88616983166859,2.92110778399773,2024-01-06,9
2024-01-06 10:00:00,26.3696019413603,7.20843753145487,7.9099735478525,2.95921127817751,2024-01-06,10
2024-01-06 11:00:00,27.3411377848836,6.62329816077923,8.11197159088375,3.58933009199854,2024-01-06,11
2024-01-06 12:00:00,26.6626177717643,7.35393880494789,7.88568442377678,2.57584252993067,2024-01-06,12
2024-01-06 13:00:00,27.5841554583811,6.06330295868444,7.69371031070064,3.0587814899274,2024-01-06,13
2024-01-06 14:00:00,26.7483454594597,7.53233493137753,8.01555742505878,4.61749539028856,2024-01-06,14
2024-01-06 15:00:00,28.2299606430105,6.18328623614038,7.54309834908953,2.89375442522661,2024-01-06,15
2024-01-06 16:00:00,26.8300480245983,7.07148197207684,7.60290319004475,3.80355520045669,2024-01-06,16
2024-01-06 17:00:00,27.1067630902766,6.39290762494431,7.90052792559122,3.05804116945306,2024-01-06,17
2024-01-06 18:00:00,27.7881103304218,7.23203338984466,7.93844330023518,3.52888941226277,2024-01-06,18
2024-01-06 19:00:00,26.5614814101396,6.87964486444326,7.56853924306416,3.59137294695637,2024-01-06,19
2024-01-06 20:00:00,27.4364759607625,5.943146425102,7.74960832899278,3.79545139612867,2024-01-06,20
2024-01-06 21:00:00,28.0842856525695,7.15241977861109,7.70272239523387,3.22389085447051,2024-01-06,21
2024-01-06 22:00:00,26.3355100592633,6.55324753390037,7.72779797219487,4.16522039466459,2024-01-06,22
2024-01-06 23:00:00,27.4107803151194,7.42868803248802,8.02815553301732,3.05658527722837,2024-01-06,23
2024-01-07 00:00:00,27.4559296765491,6.90079541324065,7.97836614734492,3.41071477784781,2024-01-07,0
2024-01-07 01:00:00,27.7690937230664,7.13725259123282,7.82598434223072,3.41546908085357,2024-01-07,1
2024-01-07 02:00:00,26.5578295734732,6.32545862699087,7.71534799530587,2.82755370842175,2024-01-07,2
2024-01-07 03:00:00,26.5077260321494,6.54640066114358,7.54657356925377,3.18707493035898,2024-01-07,3
2024-01-07 04:00:00,27.6131649393701,6.62481681833935,8.12823883714421,3.37945080467252,2024-01-07,4
2024-01-07 05:00:00,27.4781908039399,7.41402148814553,7.95434391905983,3.12418795145435,2024-01-07,5
2024-01-07 06:00:00,27.4502957102075,7.90642625268329,7.68159948814464,4.35959730514631,2024-01-07,6
2024-01-07 07:00:00,27.5078689256982,6.41689694895428,7.98111589450123,2.9493918203522,2024-01-07,7
