Timestamp,Temp,pH,Turbidity,DO,OxygenationInterventions,DiseaseOccurrence,Pond_ID,Data_Type,Observation_ID,RiskLevel,RiskFactorsCount,DataConfidenceScore,SHACL_ViolationCount_KG,RiskLevel_encoded,SHACL_pH_Violation,SHACL_DO_Violation,SHACL_Temp_Missing,SHACL_Turb_Violation,SHACL_Violation_Count,SHACL_Sensor_Error_Flag,HighRisk_Triggered,MediumRisk_Triggered
2025-12-08 00:00:00,27.47,7.98,3.3,6.34,1.0,2.0,Pond_01,Real_Data,Obs_Pond_01_20251208_00,Unknown,0,1.0,0,-1,0,0,0,0,0,0,0,0
2025-12-08 00:00:00,27.47,7.98,3.3,6.34,0.0,2.0,Pond_02,Real_Data,Obs_Pond_02_20251208_00,Medium,2,1.0,0,1,0,0,0,0,0,0,0,1
2025-12-08 00:00:00,27.6793752369523,7.888961934445035,3.6098859826151224,5.95069394199232,,,Pond_03,Real_Data,Obs_Pond_03_20251208_00,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 00:00:00,27.500787731676382,8.02340491069171,3.27293380676108,6.3449661990508375,0.0,1.0,Pond_04,Mock_Data,Obs_Pond_04_20251208_00,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 00:00:00,27.414603123435136,8.004733216500798,3.3266494467312504,6.38958830003243,0.0,1.0,Pond_05,Mock_Data,Obs_Pond_05_20251208_00,Low,2,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 04:00:00,27.47,7.98,3.3,6.34,0.0,2.0,Pond_01,Real_Data,Obs_Pond_01_20251208_04,Medium,2,1.0,0,1,0,0,0,0,0,0,0,1
2025-12-08 04:00:00,27.47,7.98,3.3,6.34,0.0,2.0,Pond_02,Real_Data,Obs_Pond_02_20251208_04,Medium,2,1.0,0,1,0,0,0,0,0,0,0,1
2025-12-08 04:00:00,27.581753581948174,7.9253770801277845,3.49215883873045,5.67826769828644,,,Pond_03,Real_Data,Obs_Pond_03_20251208_04,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 04:00:00,27.461429992121072,7.950771049425464,3.2875805405023852,6.213803798235666,0.0,1.0,Pond_04,Mock_Data,Obs_Pond_04_20251208_04,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 04:00:00,27.445952846742642,8.004927711482344,3.3149413105605032,6.227730703359049,0.0,1.0,Pond_05,Mock_Data,Obs_Pond_05_20251208_04,Low,2,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 08:00:00,27.47,7.98,3.3,6.34,1.0,2.0,Pond_01,Real_Data,Obs_Pond_01_20251208_08,Unknown,0,1.0,0,-1,0,0,0,0,0,0,0,0
2025-12-08 08:00:00,27.47,7.98,3.3,6.34,0.0,2.0,Pond_02,Real_Data,Obs_Pond_02_20251208_08,Medium,2,1.0,0,1,0,0,0,0,0,0,0,1
2025-12-08 08:00:00,27.17159073169025,7.81530073288011,3.35391546034406,5.89626365921306,,,Pond_03,Real_Data,Obs_Pond_03_20251208_08,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 08:00:00,27.51014554608526,7.984067648134491,3.3611632462912926,6.39787059979217,0.0,1.0,Pond_04,Mock_Data,Obs_Pond_04_20251208_08,Low,2,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 08:00:00,27.459082753101207,7.989338911824799,3.2565190875661743,6.385139703405059,0.0,1.0,Pond_05,Mock_Data,Obs_Pond_05_20251208_08,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 12:00:00,27.47,7.98,3.3,6.34,1.0,2.0,Pond_01,Real_Data,Obs_Pond_01_20251208_12,Unknown,0,1.0,0,-1,0,0,0,0,0,0,0,0
2025-12-08 12:00:00,27.47,7.98,3.3,6.34,0.0,2.0,Pond_02,Real_Data,Obs_Pond_02_20251208_12,Medium,2,1.0,0,1,0,0,0,0,0,0,0,1
2025-12-08 12:00:00,26.706221499773125,7.914151997389247,3.334707139685765,6.70555909487462,,,Pond_03,Real_Data,Obs_Pond_03_20251208_12,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
2025-12-08 12:00:00,27.564401647849056,7.96580588810317,3.1927323995301733,6.361882451523471,0.0,1.0,Pond_04,Mock_Data,Obs_Pond_04_20251208_12,Low,1,1.0,0,0,0,0,0,0,0,0,0,0
